FECHA;SEMANA_EPIDEMIOLOGICA;GRUPO_ETARIO;INF_CASOS;MEDIA;SUP_CASOS;CASOS_2025
29/12/2024;1;Niños menores de 5 años;4.009;4.574;5.140;2828
29/12/2024;1;Niños menores de 1 año;1.397;1.580;1.762;1039
29/12/2024;1;Población General;22.179;26.605;31.030;21748
29/12/2024;1;Mayores de 60 años;3.220;4.433;5.646;4465
4/01/2025;2;Niños menores de 1 año;1.502;1.726;1.950;1354
4/01/2025;2;Población General;24.683;30.001;35.320;30367
4/01/2025;2;Mayores de 60 años;3.409;5.072;6.735;5998
4/01/2025;2;Niños menores de 5 años;4.352;5.107;5.862;3835
11/01/2025;3;Niños menores de 1 año;1.404;1.604;1.803;1377
11/01/2025;3;Población General;22.312;29.293;36.274;32004
11/01/2025;3;Niños menores de 5 años;4.301;4.895;5.488;4084
11/01/2025;3;Mayores de 60 años;3.672;4.693;5.713;5997
18/01/2025;4;Niños menores de 5 años;4.134;4.666;5.197;3673
18/01/2025;4;Mayores de 60 años;3.478;4.330;5.183;5202
18/01/2025;4;Niños menores de 1 año;1.313;1.490;1.667;1177
18/01/2025;4;Población General;21.355;27.568;33.781;29422
25/01/2025;5;Población General;24.589;26.999;29.410;27341
25/01/2025;5;Mayores de 60 años;3.371;4.239;5.107;4471
25/01/2025;5;Niños menores de 5 años;3.967;4.800;5.633;3805
25/01/2025;5;Niños menores de 1 año;1.138;1.429;1.720;1120
1/02/2025;6;Mayores de 60 años;3.096;3.738;4.380;4684
1/02/2025;6;Niños menores de 5 años;4.761;5.816;6.871;4525
1/02/2025;6;Población General;21.386;27.444;33.501;30010
1/02/2025;6;Niños menores de 1 año;1.003;1.435;1.868;1137
8/02/2025;7;Niños menores de 1 año;1.154;1.718;2.283;1246
8/02/2025;7;Mayores de 60 años;2.661;3.580;4.498;4284
8/02/2025;7;Población General;23.038;31.723;40.409;32302
8/02/2025;7;Niños menores de 5 años;6.556;7.802;9.048;5810
15/02/2025;8;Niños menores de 5 años;7.299;9.062;10.826;7680
15/02/2025;8;Mayores de 60 años;2.444;3.429;4.414;5007
15/02/2025;8;Población General;25.570;34.265;42.961;40784
15/02/2025;8;Niños menores de 1 año;1.365;2.030;2.694;1628
22/02/2025;9;Niños menores de 5 años;7.683;9.530;11.378;8801
22/02/2025;9;Niños menores de 1 año;1.456;2.102;2.749;2024
22/02/2025;9;Población General;26.851;34.995;43.138;46612
22/02/2025;9;Mayores de 60 años;2.823;3.619;4.415;5787
1/03/2025;10;Población General;29.646;36.954;44.261;50463
1/03/2025;10;Niños menores de 5 años;8.235;10.602;12.969;9629
1/03/2025;10;Mayores de 60 años;2.035;3.707;5.379;6260
1/03/2025;10;Niños menores de 1 año;1.491;2.240;2.989;2020
8/03/2025;11;Niños menores de 5 años;8.491;10.790;13.088;10372
8/03/2025;11;Población General;28.445;35.351;42.257;52595
8/03/2025;11;Mayores de 60 años;2.196;3.227;4.257;6712
8/03/2025;11;Niños menores de 1 año;1.565;2.238;2.911;2239
15/03/2025;12;Población General;26.878;36.039;45.199;50921
15/03/2025;12;Niños menores de 5 años;9.365;11.728;14.090;10406
15/03/2025;12;Mayores de 60 años;2.214;3.334;4.453;6313
15/03/2025;12;Niños menores de 1 año;1.776;2.597;3.418;2379
22/03/2025;13;Mayores de 60 años;2.045;3.182;4.319;6112
22/03/2025;13;Niños menores de 5 años;6.238;10.818;15.398;10481
22/03/2025;13;Niños menores de 1 año;1.326;2.478;3.629;2459
22/03/2025;13;Población General;18.532;32.605;46.678;47113
29/03/2025;14;Mayores de 60 años;2.496;3.585;4.674;6653
29/03/2025;14;Niños menores de 5 años;5.780;10.719;15.658;10860
29/03/2025;14;Niños menores de 1 año;1.524;2.696;3.867;2463
29/03/2025;14;Población General;27.513;33.975;40.437;51030
5/04/2025;15;Niños menores de 1 año;1.381;2.700;4.018;2424
5/04/2025;15;Niños menores de 5 años;6.815;11.023;15.231;10770
